smiles,pred,max_tan_to_sd1_actives
CC(=O)NC=C[SH](O)C1=C(C(=O)O)N2C(=O)C(C(C)O)C2C1,0.8813363909721375,0.29333332
CCC(C)[C@@H]1/N=C(\O)[C@@H]2CCCN2C(=O)[C@@H](CC(O)CCl)OC(=O)CC/N=C(/O)[C@H](C)N(C)C(=O)[C@H](C(C)C)N(C)C1=O,0.8803096413612366,0.25438598
C=C(C)C[C@H](O)C(=O)N(C)[C@@](C=O)(C(=O)[C@@H](N)CC(C)C)C(C(=O)CCN)(C(=O)C(O)CC(C)C)c1ccccc1,0.879989743232727,0.19753087
CCCCN[C@@]1(c2ccccc2)SSSSSSC1=S,0.8791441321372986,0.23529412
CCCCN[C@]1(c2ccccc2)SSSSSSC1=S,0.8787057399749756,0.23529412
COc1cc(C(CC(=O)NCCO)C2=C(O)[C@@]3(Oc4c(Cl)c(OC)cc(OC)c4C3=O)[C@H](C)CC2=O)ccc1O,0.8629200458526611,0.24731183
CC(O)=NC=C[S@@+]([O-])C1=C(C(=O)O)N2C(=O)[C@@H]([C@H](C)OS(=O)(=O)O)[C@H]2C1,0.8581012487411499,0.23529412
COc1cc(C(CC(=O)NCCNC(C)=O)C2=C(O)[C@@]3(Oc4c(Cl)c(OC)cc(OC)c4C3=O)[C@H](C)CC2=O)ccc1O,0.8570407032966614,0.24468085
COc1cc(C(CC(=O)NCCCO)C2=C(O)[C@@]3(Oc4c(Cl)c(OC)cc(OC)c4C3=O)[C@H](C)CC2=O)ccc1O,0.8556625843048096,0.25531915
CCC(C)C1N=C(O)C2CCCN2C(=O)C(CCC(O)CCl)OC(=O)CCN=C(O)C(C)N=C(O)C(C(C)CC)N(C)C1=O,0.853666365146637,0.21705426
Nc1cccc(Sc2ccc(/C=C/C(=O)N3CCOCC3)c(C(F)(F)F)c2C(F)(F)F)c1,0.8531460762023926,0.26865673
COc1c(Cl)cc2c(c1OC)N(C)[C@@H]1N3C(=O)[C@]4(C)SS[C@]3(C[C@]21O)C(=O)N4C,0.8531352877616882,0.2820513
COc1c(Cl)cc2c(c1OC)N(C)[C@@H]1N3C(=O)[C@@]4(C)SS[C@]3(C[C@]21O)C(=O)N4C,0.8531067371368408,0.2820513
O=C1C=C[C@H](O)[C@@H]2[C@@H]1C[C@@]13SS[C@]4(C[C@H]5C(=O)C[C@H](O)[C@H](O)[C@H]5N4C1=O)C(=O)N23,0.8517281413078308,0.29411766
O=C1C=C[C@H](O)[C@@H]2[C@@H]1CC13SSC4(C[C@H]5C(=O)C[C@H](O)[C@H](O)[C@H]5N4C1=O)C(=O)N23,0.848738431930542,0.29411766
COC[C@@H](CO)N(C)C(=O)CCC=CCCCC[C@H](Cl)CCCCCCCC(Cl)Cl,0.8486411571502686,0.203125
COC[C@@H](CO)N(C)C(=O)CC/C=C/CCCC[C@H](Cl)CCCCCCCC(Cl)Cl,0.84844571352005,0.203125
C#CCCC[C@@H]1NC(=O)[C@H](C(C)C)NC(=O)[C@@H](Cc2ccccc2)N(C)C(=O)[C@@H](C(C)C)N(C)C(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)N(C)C(=O)[C@H](C)OC(=O)[C@H]1C,0.8459014892578125,0.29090908
CCC(C)[C@@H]1/N=C(\O)[C@@H]2CCCN2C(=O)[C@@H](CC(CCl)OC(C)=O)OC(=O)CC/N=C(/O)[C@H](C)N(C)C(=O)[C@H](C(C)C)N(C)C1=O,0.844102680683136,0.24806201
C#CCCCC=CC=C[C@@H]1C/C(C)=C/[C@@H](OC)C[C@@H]2O[C@@](O)(C[C@H](O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](OC)[C@H]3OC)[C@@H]2C)[C@H](C)C(=O)O1,0.8407178521156311,0.26119402
C#CCCC/C=C/C=C/[C@@H]1C/C(C)=C/[C@@H](OC)C[C@@H]2O[C@@](O)(C[C@H](O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](OC)[C@H]3OC)[C@@H]2C)[C@H](C)C(=O)O1,0.8403220176696777,0.26119402
C#CCCC/C=C/C=C/[C@@H]1CC(C)=C[C@@H](OC)C[C@@H]2O[C@@](O)(C[C@H](O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](OC)[C@H]3OC)[C@@H]2C)[C@H](C)C(=O)O1,0.8402986526489258,0.26119402
COc1cc(C(CC(=O)NC[C@@H](C)O)C2=C(O)[C@@]3(Oc4c(Cl)c(OC)cc(OC)c4C3=O)[C@H](C)CC2=O)ccc1O,0.8364664912223816,0.2580645
COC[C@@H](CO)N(C)C(=O)CCC=CCCCC[C@H](Cl)CCCCCCCCCl,0.8334219455718994,0.2
COC[C@@H](CO)N(C)C(=O)CC/C=C/CCCC[C@H](Cl)CCCCCCCCCl,0.8332890272140503,0.2
O=C1C(Cl)=C(Nc2ccc(O)cc2)c2c(Cl)c(Cl)c(Cl)c(Cl)c21,0.8330742120742798,0.21875
CC(CC(=O)N(C)[C@@H]1C(=O)N(C)[C@@H](C(C)C)/C(O)=N/[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N(C)[C@H](Cc2ccccc2)/C(O)=N/[C@@H](C)C(=O)O[C@@H]1C)C(Cl)Cl,0.8329854011535645,0.20661157
COc1ccc([C@@H]2SS[C@@]34C[C@]5(O)[C@H](Cl)C=C[C@@H](O)[C@@H]5ON3C(=O)[C@@H]2N(C)C4=O)c(O)c1OC,0.8323093056678772,0.20652173
COc1ccc([C@H]2SS[C@@]34C[C@]5(O)[C@H](Cl)C=C[C@@H](O)[C@@H]5ON3C(=O)[C@@H]2N(C)C4=O)c(O)c1OC,0.8317180275917053,0.20652173
CC(O)=NCCSC1=C(C(=O)O)N2C(=O)[C@@H]([C@H](C)OS(=O)(=O)O)[C@H]2C1,0.8316038250923157,0.24096386
Oc1cc(Cl)c(Cl)c(Cl)c1-n1cc(Cl)c(Cl)c1Cl,0.8314200639724731,0.2777778
